Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,248.35,338.82,232.159,18.8238,472.695,223.674,-142.015,363.164,232.257,-16.5345,219.064,206.074,242.211,347.713,138.432,195.158,463.716,160.163,-70.9247,482.378,157.69,-136.184,369.372,146.713,115.397,493.573,473.122,-8.85552,504.766,521.969,-107.16,493.014,459.008,56.2413,431.041,571.695,58.3619,293.139,622.151,51.8658,219.339,482.01,-0.643837,205.973,368.206,96.7411,204.227,365.12,56.1603,499.012,404.74,162.413,417.115,772.047,80.9168,513.675,836.353,-15.3406,423.572,782.901,45.5702,314.154,744.55,68.116,353.842,860.717
11,0,248.344,338.796,232.162,18.8162,472.701,223.673,-142.026,363.167,232.243,-16.5329,219.072,206.034,242.208,347.73,138.413,195.157,463.729,160.169,-70.9266,482.393,157.697,-136.221,369.477,146.785,115.41,493.572,473.129,-8.84562,504.763,521.967,-107.148,493.01,459.021,56.2629,431.028,571.691,58.3859,293.124,622.159,51.8693,219.332,482.018,-0.629197,205.974,368.176,96.7594,204.225,365.078,56.1648,499.018,404.752,162.459,417.099,772.039,80.9647,513.667,836.335,-15.301,423.566,782.908,45.6185,314.146,744.513,68.1625,353.833,860.713
12,0,248.347,338.781,232.173,18.8248,472.694,223.687,-142.038,363.176,232.256,-16.5277,219.072,206.015,242.224,347.748,138.426,195.169,463.716,160.158,-70.9117,482.397,157.698,-136.213,369.498,146.817,115.432,493.557,473.136,-8.82462,504.747,521.982,-107.129,493.001,459.021,56.2948,431.011,571.695,58.4198,293.114,622.13,51.8847,219.325,482.012,-0.616466,205.964,368.181,96.7998,204.211,365.024,56.1894,499.012,404.755,162.515,417.091,772.036,81.0144,513.66,836.332,-15.2575,423.555,782.911,45.6576,314.138,744.512,68.2268,353.826,860.714
13,0,248.367,338.741,232.147,18.8383,472.667,223.681,-142.022,363.186,232.249,-16.5275,219.074,206.041,242.218,347.717,138.396,195.184,463.708,160.162,-70.9069,482.404,157.709,-136.177,369.446,146.745,115.465,493.538,473.128,-8.79203,504.734,521.99,-107.098,492.993,459.031,56.3212,430.994,571.695,58.4492,293.101,622.118,51.898,219.318,482.015,-0.605715,205.954,368.222,96.7923,204.195,365.082,56.2124,499.003,404.767,162.567,417.072,772.045,81.0763,513.653,836.323,-15.2009,423.544,782.921,45.6955,314.113,744.539,68.2876,353.813,860.716
14,0,248.4,338.718,232.149,18.849,472.653,223.668,-142.019,363.169,232.232,-16.534,219.064,206.045,242.227,347.763,138.424,195.192,463.71,160.149,-70.8918,482.383,157.691,-136.132,369.43,146.562,115.497,493.523,473.126,-8.76057,504.717,521.991,-107.062,492.982,459.023,56.3523,430.985,571.685,58.4787,293.079,622.112,51.9069,219.296,482.012,-0.600705,205.949,368.221,96.7944,204.192,365.055,56.2319,498.997,404.769,162.615,417.042,772.039,81.1296,513.639,836.312,-15.1498,423.531,782.928,45.7359,314.1,744.527,68.3489,353.799,860.713
15,0,248.449,338.718,232.145,18.8686,472.629,223.651,-142.018,363.18,232.248,-16.5166,219.066,206.028,242.238,347.779,138.428,195.199,463.687,160.118,-70.8771,482.364,157.691,-136.104,369.218,146.44,115.537,493.503,473.13,-8.72804,504.703,521.992,-107.02,492.979,459.032,56.3911,430.97,571.698,58.5126,293.063,622.103,51.9211,219.286,482.007,-0.60367,205.941,368.215,96.8107,204.183,364.995,56.2511,498.983,404.775,162.663,417.01,772.036,81.2029,513.619,836.3,-15.1077,423.519,782.942,45.7782,314.111,744.493,68.4062,353.786,860.701
16,0,248.477,338.699,232.129,18.8878,472.629,223.663,-142.005,363.194,232.278,-16.5007,219.067,206.007,242.224,347.71,138.332,195.214,463.695,160.131,-70.8697,482.379,157.724,-136.075,369.212,146.464,115.569,493.498,473.138,-8.68872,504.698,522.009,-106.986,492.987,459.059,56.4295,430.957,571.697,58.5342,293.048,622.117,51.9356,219.282,481.995,-0.599409,205.942,368.2,96.8039,204.179,364.99,56.2764,498.977,404.783,162.708,416.982,772.029,81.2621,513.595,836.305,-15.0503,423.519,782.953,45.8155,314.113,744.469,68.4536,353.768,860.693
17,0,248.436,338.698,232.109,18.8939,472.648,223.679,-141.972,363.183,232.271,-16.49,219.047,206.067,242.238,347.741,138.353,195.218,463.694,160.13,-70.8666,482.376,157.718,-136.083,369.352,146.658,115.592,493.497,473.141,-8.65889,504.697,522.022,-106.965,493.003,459.079,56.4536,430.959,571.695,58.5511,293.036,622.112,51.9418,219.268,482.007,-0.594969,205.942,368.234,96.8067,204.154,365.043,56.2913,498.97,404.785,162.719,416.962,772.016,81.3075,513.578,836.307,-15.0025,423.506,782.958,45.8379,314.084,744.499,68.4835,353.749,860.692
18,0,248.435,338.68,232.101,18.8965,472.641,223.675,-141.965,363.17,232.27,-16.4718,219.045,206.056,242.246,347.755,138.348,195.214,463.702,160.127,-70.8694,482.389,157.719,-136.098,369.477,146.664,115.608,493.488,473.138,-8.6393,504.693,522.026,-106.951,493.011,459.085,56.4804,430.939,571.677,58.5703,293.016,622.127,51.9514,219.252,482.011,-0.590802,205.937,368.229,96.8375,204.157,364.976,56.302,498.97,404.787,162.74,416.949,772.014,81.3517,513.558,836.31,-14.9659,423.5,782.958,45.8698,314.079,744.453,68.511,353.731,860.685
19,0,248.447,338.673,232.101,18.9064,472.65,223.685,-141.963,363.178,232.275,-16.4598,219.04,206.05,242.259,347.769,138.388,195.227,463.696,160.127,-70.8486,482.381,157.717,-135.883,370.864,149.165,115.633,493.481,473.156,-8.61271,504.686,522.028,-106.921,493.009,459.101,56.4919,430.921,571.688,58.5882,293.002,622.132,51.9764,219.24,481.994,-0.581227,205.936,368.205,96.8529,204.155,364.921,56.3214,498.957,404.797,162.768,416.937,772.013,81.3986,513.532,836.31,-14.9372,423.483,782.98,45.8869,314.066,744.437,68.5385,353.708,860.692
