Devices
1000
,,Seat Plate - Force,,,Seat Plate - Moment,,,Seat Plate - CoP,,,Foot Plate - Force,,,Foot Plate - Moment,,,Foot Plate - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
4,2,-6.26434,-4.47235,-594.802,-209116,7652.11,5859.56,62.865,430.187,7.86,7.26837,2.33917,-154.97,-4306,-1423.83,2225.42,86.8122,812.786,-478
4,3,-9.92645,-6.3034,-592.971,-208566,8476.09,3936.95,64.2943,430.346,7.86,3.91144,3.55988,-155.58,-2658.05,-2247.8,2500.07,81.5522,802.085,-478
4,4,-9.3161,-5.0827,-594.191,-208841,7835.22,5172.91,63.1864,430.086,7.86,4.21662,3.2547,-153.749,-2383.39,-1423.83,2362.75,86.7393,800.502,-478
4,5,-12.0627,-5.0827,-595.412,-208566,7835.22,5035.58,63.1593,428.904,7.86,6.35285,2.94953,-154.36,-2566.5,-1698.49,2362.75,84.9966,801.627,-478
4,6,-9.01092,-4.77752,-593.581,-211313,7835.22,5447.57,63.1999,434.612,7.86,4.21662,1.11847,-154.36,-2474.94,-2247.8,2225.42,81.4379,801.034,-478
4,7,-9.62127,-4.16717,-594.191,-208017,8384.54,2700.99,64.1108,428.699,7.86,4.21662,2.94953,-155.58,-2383.39,-1423.83,2637.4,86.8483,800.319,-478
4,8,-9.92645,-4.47235,-594.191,-207468,8292.98,5584.9,63.9568,427.775,7.86,5.13214,4.17023,-155.58,-2474.94,-599.852,2225.42,92.1444,800.908,-478
4,9,-6.26434,-4.47235,-596.022,-208566,7743.67,5722.23,62.9922,428.546,7.86,7.26837,4.4754,-151.308,-3573.58,-874.511,2225.42,90.2203,808.618,-478
5,0,-9.62127,-5.69305,-592.36,-208292,8567.64,4074.28,64.4636,430.245,7.86,4.21662,5.08576,-152.529,-2474.94,-2797.12,2500.07,77.6617,801.226,-478
5,1,-9.3161,-5.69305,-595.412,-208292,7835.22,5310.24,63.1593,428.443,7.86,4.52179,4.4754,-152.529,-2291.84,-874.511,3049.39,90.2666,800.026,-478
5,2,-11.1472,-5.38788,-594.191,-208292,7835.22,4623.6,63.1864,429.162,7.86,5.74249,4.4754,-157.411,-2200.29,-874.511,2912.06,90.4444,798.978,-478
5,3,-8.70575,-4.77752,-600.295,-212961,7926.77,5035.58,63.2048,433.376,7.86,4.52179,2.33917,-153.139,-3298.92,498.78,2225.42,99.257,806.542,-478
5,4,-8.0954,-5.99823,-596.633,-208566,8384.54,2289,64.0531,428.188,7.86,4.52179,2.64435,-154.36,-2566.5,-1423.83,3049.39,86.7759,801.627,-478
5,5,-9.3161,-6.3034,-594.802,-208566,8109.88,4898.25,63.6346,429.264,7.86,3.91144,2.33917,-159.243,-2566.5,-1149.17,2500.07,88.7835,801.117,-478
5,6,-9.01092,-5.0827,-595.412,-208841,7926.77,5310.24,63.3131,429.365,7.86,4.82697,0.813295,-155.58,-4489.1,-1149.17,2088.09,88.6137,813.854,-478
5,7,-8.70575,-6.3034,-594.191,-209116,8292.98,3524.96,63.9568,430.548,7.86,3.91144,1.11847,-155.58,-2566.5,-325.194,1813.43,93.9098,801.496,-478
5,8,-7.79022,-4.77752,-594.802,-209665,8018.32,5172.91,63.4807,431.111,7.86,4.82697,0.202943,-154.97,-2017.18,-874.511,3324.05,90.3569,798.017,-478
5,9,-15.1144,-6.60858,-594.191,-208841,8109.88,5035.58,63.6486,430.086,7.86,3.60626,3.2547,-164.125,-2383.39,-1149.17,2362.75,88.9982,799.522,-478
6,0,-9.3161,-5.69305,-600.905,-212412,7743.67,5172.91,62.8867,432.101,7.86,3.60626,3.2547,-153.749,-3939.79,1322.76,2362.75,104.603,810.625,-478
6,1,-9.62127,-6.60858,-594.802,-208292,8842.3,4623.6,64.866,428.802,7.86,4.52179,3.2547,-153.749,-2474.94,-1423.83,2500.07,86.7393,801.097,-478
6,2,-9.3161,-5.69305,-594.802,-211038,8201.43,5310.24,63.7885,433.42,7.86,3.91144,2.33917,-157.411,-2017.18,-325.194,2500.07,93.9341,797.815,-478
6,3,-12.3679,-5.0827,-595.412,-206369,8201.43,4760.92,63.7744,425.214,7.86,2.99591,3.86505,-153.139,-3756.68,-1423.83,2912.06,86.7024,809.531,-478
6,4,-9.01092,-6.3034,-599.074,-208841,8109.88,6820.86,63.5374,427.221,7.86,3.60626,2.94953,-153.139,-2474.94,498.78,2500.07,99.257,801.161,-478
6,5,-9.01092,-5.69305,-594.191,-209390,8292.98,5310.24,63.9568,431.011,7.86,4.52179,-0.102233,-151.918,-2108.73,-874.511,3598.71,90.2435,798.881,-478
6,6,-14.8093,-5.99823,-592.971,-208292,7926.77,4486.27,63.3679,429.883,7.86,2.08039,4.4754,-161.074,-2200.29,-1149.17,2362.75,88.8656,798.66,-478
6,7,-8.40057,-5.99823,-599.684,-210489,8292.98,5172.91,63.8289,429.615,7.86,4.52179,5.08576,-151.918,-3298.92,1872.07,2088.09,108.323,806.715,-478
6,8,-8.40057,-5.38788,-594.191,-208566,8659.19,5584.9,64.5731,429.624,7.86,5.74249,4.17023,-150.698,-2108.73,-1149.17,2637.4,88.3743,798.993,-478
6,9,-8.70575,-6.3034,-594.802,-209665,8018.32,5996.89,63.4807,431.111,7.86,5.13214,4.17023,-156.801,-2017.18,-599.852,2500.07,92.1744,797.865,-478
7,0,-12.9782,-5.69305,-594.802,-207468,8292.98,4898.25,63.9424,427.417,7.86,2.38556,3.86505,-156.191,-3665.13,-874.511,3324.05,90.401,808.466,-478
7,1,-10.5368,-5.99823,-598.464,-208292,8201.43,7919.49,63.7041,426.659,7.86,4.21662,2.64435,-154.36,-2841.15,498.78,2225.42,99.2313,803.406,-478
7,2,-8.0954,-5.0827,-594.802,-208566,8384.54,5722.23,64.0964,429.264,7.86,4.52179,-1.32294,-155.58,-2383.39,-1423.83,2637.4,86.8483,800.319,-478
7,3,-12.9782,-5.38788,-592.971,-208292,8201.43,4348.94,63.8311,429.883,7.86,1.47003,1.72882,-161.074,-2749.6,-1698.49,2225.42,85.4552,802.071,-478
7,4,-9.3161,-5.69305,-597.243,-207468,8201.43,4760.92,63.7321,425.991,7.86,3.91144,4.17023,-154.97,-3207.37,224.122,2500.07,97.4462,805.697,-478
