Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,257.038,416.384,240.36,23.7545,542.414,216.738,-133.733,430.771,239.325,-3.69882,287.784,229.599,251.822,415.456,142.978,200.201,531.085,153.934,-66.2502,541.752,150.917,,,,111.812,577.211,464.585,-12.4472,581.494,513.237,-109.606,557.215,452.357,55.7168,515.438,562.341,69.9603,385.708,624.877,70.9265,302.659,492.47,19.0808,275.015,383.352,115.892,280.59,379.026,51.7209,574.844,391.236,159.653,515.109,769.398,72.3255,608.814,829.459,-17.6546,511.856,777.327,49.79,405.018,743.277,67.6252,449.129,858.988
11,0,257.053,416.373,240.35,23.7541,542.379,216.679,-133.755,430.77,239.317,-3.6975,287.8,229.572,251.877,415.466,142.958,200.195,531.089,153.887,-66.2518,541.742,150.897,,,,111.799,577.216,464.56,-12.4576,581.493,513.213,-109.613,557.2,452.33,55.7099,515.43,562.323,69.9532,385.735,624.884,70.9206,302.662,492.516,19.0816,275.022,383.379,115.893,280.597,379.029,51.7241,574.817,391.206,159.661,515.134,769.37,72.3377,608.847,829.443,-17.6693,511.903,777.324,49.7697,405.069,743.249,67.6255,449.173,858.972
12,0,257.065,416.389,240.337,23.7602,542.392,216.66,-133.751,430.77,239.309,-3.69539,287.822,229.589,251.875,415.484,142.929,200.212,531.117,153.87,-66.2475,541.753,150.881,,,,111.795,577.219,464.533,-12.4615,581.511,513.191,-109.619,557.204,452.301,55.7135,515.437,562.303,69.943,385.763,624.893,70.9087,302.665,492.594,19.0868,275.02,383.387,115.893,280.609,379.04,51.7268,574.824,391.178,159.66,515.178,769.347,72.3416,608.893,829.436,-17.6748,511.96,777.314,49.7527,405.121,743.233,67.6252,449.223,858.957
13,0,257.054,416.425,240.345,23.7566,542.429,216.664,-133.75,430.766,239.315,-3.69888,287.817,229.657,251.854,415.477,142.925,200.21,531.135,153.853,-66.2584,541.763,150.872,,,,111.777,577.239,464.529,-12.4846,581.529,513.172,-109.64,557.211,452.289,55.7098,515.436,562.288,69.9325,385.805,624.88,70.8949,302.672,492.688,19.099,275.034,383.399,115.903,280.627,379.075,51.7189,574.833,391.179,159.642,515.22,769.332,72.3317,608.944,829.425,-17.6877,511.997,777.299,49.7396,405.16,743.238,67.611,449.269,858.955
14,0,257.047,416.484,240.344,23.737,542.471,216.647,-133.758,430.758,239.299,-3.69033,287.84,229.602,251.846,415.515,142.919,200.208,531.154,153.82,-66.2775,541.769,150.839,,,,111.751,577.258,464.51,-12.507,581.561,513.152,-109.669,557.24,452.268,55.6956,515.439,562.278,69.9143,385.839,624.887,70.8922,302.699,492.713,19.0913,275.048,383.412,115.9,280.65,379.056,51.6935,574.864,391.171,159.609,515.279,769.309,72.3052,609.005,829.403,-17.7074,512.051,777.276,49.7147,405.212,743.216,67.5852,449.322,858.935
15,0,257.053,416.534,240.342,23.7083,542.535,216.653,-133.766,430.772,239.293,-3.68232,287.865,229.624,251.826,415.51,142.912,200.193,531.18,153.823,-66.2844,541.805,150.852,,,,111.724,577.298,464.507,-12.5363,581.602,513.145,-109.694,557.275,452.264,55.6874,515.439,562.249,69.908,385.886,624.893,70.8843,302.722,492.734,19.0909,275.069,383.423,115.9,280.671,379.066,51.6717,574.908,391.171,159.588,515.332,769.312,72.2661,609.072,829.378,-17.7334,512.103,777.264,49.6921,405.275,743.2,67.5515,449.381,858.918
16,0,257.054,416.572,240.356,23.6981,542.601,216.66,-133.748,430.791,239.281,-3.67748,287.881,229.685,251.812,415.535,142.931,200.18,531.188,153.807,-66.2807,541.838,150.836,,,,111.705,577.353,464.513,-12.5593,581.657,513.149,-109.717,557.325,452.272,55.6784,515.451,562.239,69.8858,385.932,624.907,70.8718,302.748,492.783,19.0874,275.105,383.464,115.894,280.695,379.105,51.6418,574.978,391.211,159.568,515.383,769.317,72.2306,609.128,829.367,-17.7523,512.148,777.251,49.6688,405.327,743.204,67.5198,449.442,858.918
17,0,257.048,416.587,240.338,23.7012,542.632,216.636,-133.739,430.805,239.262,-3.6646,287.922,229.648,251.819,415.534,142.911,200.192,531.211,153.792,-66.2875,541.871,150.808,,,,111.692,577.407,464.518,-12.5755,581.708,513.146,-109.728,557.372,452.272,55.6857,515.453,562.225,69.8615,385.973,624.916,70.8608,302.778,492.804,19.0764,275.14,383.432,115.887,280.729,379.129,51.6436,575.011,391.205,159.541,515.439,769.306,72.1956,609.188,829.339,-17.7761,512.206,777.23,49.6438,405.361,743.205,67.4893,449.502,858.896
18,0,257.07,416.637,240.347,23.7105,542.633,216.611,-133.75,430.818,239.265,-3.65452,287.948,229.666,251.861,415.572,142.916,200.199,531.218,153.745,-66.2834,541.849,150.786,,,,111.686,577.425,464.512,-12.5814,581.729,513.143,-109.729,557.393,452.263,55.6555,515.496,562.226,69.8415,386.012,624.921,70.84,302.819,492.851,19.0657,275.177,383.447,115.866,280.766,379.148,51.6722,575.003,391.196,159.537,515.494,769.32,72.1689,609.244,829.319,-17.8087,512.252,777.226,49.6245,405.418,743.203,67.4698,449.562,858.892
19,0,257.074,416.674,240.334,23.7231,542.63,216.569,-133.747,430.837,239.269,-3.64713,287.974,229.663,251.893,415.62,142.935,200.208,531.235,153.722,-66.2768,541.872,150.762,,,,111.688,577.45,464.501,-12.5814,581.755,513.131,-109.722,557.412,452.245,55.6497,515.499,562.221,69.8193,386.048,624.953,70.8331,302.86,492.845,19.0676,275.201,383.481,115.853,280.796,379.187,51.6905,574.99,391.184,159.528,515.541,769.318,72.1406,609.301,829.297,-17.8372,512.31,777.225,49.5972,405.474,743.217,67.4507,449.632,858.901
