Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,264.228,347.674,240.95,31.6191,476.108,220.887,-126.768,364.734,239.575,3.14966,221.425,225.058,263.537,358.458,138.715,208.293,465.974,158.478,-58.0131,477.931,154.27,,,,123.168,499.438,490.572,-1.54514,507.4,538.718,-99.0425,491.228,475.806,68.915,436.659,570.547,75.8038,303.37,625.442,70.0252,227.581,501.857,18.5364,208.824,389.731,115.675,210.22,387.049,66.3776,506.936,399.167,169.327,437.306,775.913,81.6387,535.565,828.641,-8.1546,436.122,780.625,59.0406,326.981,753.635,75.2021,377.254,867.73
11,0,264.204,347.711,240.955,31.6243,476.146,220.867,-126.77,364.79,239.599,3.15893,221.447,225.088,263.728,357.917,136.999,208.302,466.007,158.459,-58.0202,477.952,154.254,,,,123.145,499.454,490.583,-1.55989,507.384,538.747,-99.0597,491.212,475.829,68.9207,436.658,570.543,75.8389,303.383,625.451,70.0549,227.582,501.87,18.5641,208.826,389.751,115.693,210.244,387.022,66.3535,506.959,399.177,169.343,437.383,775.896,81.6273,535.617,828.61,-8.1354,436.133,780.625,59.0875,327.009,753.662,75.2426,377.311,867.734
12,0,264.224,347.747,240.958,31.6299,476.182,220.859,-126.744,364.822,239.612,3.16836,221.469,225.113,263.736,357.944,137.033,208.302,466.063,158.455,-58.017,477.971,154.255,,,,123.136,499.476,490.589,-1.56819,507.365,538.776,-99.0728,491.188,475.848,68.9238,436.662,570.554,75.8742,303.382,625.455,70.0844,227.584,501.856,18.5889,208.832,389.747,115.713,210.263,387.015,66.3315,506.982,399.201,169.359,437.456,775.894,81.6224,535.66,828.586,-8.11385,436.145,780.622,59.1334,327.036,753.671,75.2918,377.361,867.742
13,0,264.224,347.777,240.967,31.6233,476.21,220.836,-126.751,364.833,239.611,3.17816,221.475,225.157,263.728,357.976,137.004,208.291,466.096,158.428,-58.0197,477.968,154.213,,,,123.116,499.492,490.595,-1.58305,507.346,538.796,-99.0903,491.165,475.867,68.9193,436.649,570.562,75.9005,303.384,625.448,70.1133,227.578,501.852,18.61,208.825,389.745,115.74,210.294,386.95,66.3165,506.988,399.203,169.375,437.521,775.88,81.621,535.697,828.563,-8.09938,436.151,780.623,59.1747,327.053,753.681,75.3252,377.396,867.739
14,0,264.235,347.799,240.97,31.6156,476.237,220.808,-126.767,364.866,239.618,3.18568,221.495,225.184,263.731,358.028,137.067,208.28,466.135,158.425,-58.0239,477.976,154.2,,,,123.1,499.501,490.606,-1.59599,507.33,538.823,-99.1032,491.135,475.889,68.9182,436.64,570.565,75.9304,303.391,625.46,70.1629,227.588,501.85,18.6405,208.835,389.747,115.781,210.323,386.929,66.2921,506.981,399.211,169.385,437.566,775.866,81.6151,535.727,828.55,-8.08669,436.156,780.63,59.2083,327.073,753.702,75.3588,377.426,867.743
15,0,264.237,347.822,240.949,31.617,476.262,220.779,-126.759,364.89,239.627,3.19277,221.517,225.231,263.71,357.992,136.982,208.29,466.144,158.385,-58.0316,477.994,154.185,,,,123.085,499.517,490.613,-1.60715,507.327,538.843,-99.118,491.107,475.921,68.9216,436.636,570.575,75.9522,303.392,625.465,70.1967,227.593,501.869,18.6637,208.833,389.75,115.794,210.336,386.953,66.2702,506.99,399.232,169.391,437.598,775.853,81.6143,535.752,828.545,-8.06844,436.159,780.629,59.2353,327.086,753.718,75.3798,377.446,867.755
16,0,264.234,347.822,240.926,31.6214,476.31,220.769,-126.737,364.921,239.631,3.1908,221.542,225.24,263.696,358.015,136.979,208.285,466.171,158.392,-58.027,478.003,154.163,,,,123.073,499.536,490.625,-1.61682,507.324,538.859,-99.1334,491.071,475.954,68.9209,436.607,570.58,75.989,303.404,625.459,70.2386,227.601,501.884,18.6967,208.833,389.76,115.83,210.35,386.991,66.2635,507.008,399.252,169.405,437.632,775.867,81.615,535.762,828.543,-8.05481,436.159,780.634,59.2566,327.09,753.715,75.3992,377.457,867.759
17,0,264.242,347.843,240.94,31.6231,476.312,220.721,-126.739,364.936,239.611,3.19091,221.585,225.305,263.74,358.061,137.086,208.29,466.172,158.344,-58.0169,477.998,154.129,,,,123.066,499.546,490.626,-1.62376,507.317,538.869,-99.1402,491.029,475.973,68.9326,436.586,570.578,76.0187,303.427,625.461,70.2899,227.615,501.897,18.7298,208.821,389.797,115.874,210.36,387.016,66.2561,506.989,399.241,169.43,437.652,775.878,81.6189,535.765,828.553,-8.04185,436.152,780.641,59.2709,327.094,753.737,75.4172,377.456,867.757
18,0,264.235,347.864,240.946,31.6194,476.313,220.681,-126.757,364.941,239.598,3.19467,221.591,225.307,263.731,358.059,137.073,208.287,466.195,158.326,-58.0195,477.994,154.082,,,,123.057,499.57,490.62,-1.63527,507.31,538.87,-99.1543,491,475.995,68.9192,436.575,570.563,76.0628,303.446,625.442,70.3493,227.634,501.907,18.7703,208.834,389.795,115.909,210.385,387.003,66.2392,506.993,399.234,169.443,437.666,775.885,81.6179,535.753,828.566,-8.03226,436.14,780.645,59.2937,327.084,753.718,75.4362,377.436,867.747
19,0,264.232,347.871,240.93,31.6176,476.334,220.671,-126.75,364.97,239.615,3.18275,221.612,225.375,263.719,358.051,137.076,208.293,466.2,158.317,-58.0134,477.996,154.07,,,,123.054,499.604,490.62,-1.6433,507.324,538.873,-99.1687,490.997,476.022,68.9259,436.58,570.564,76.0931,303.474,625.452,70.3883,227.647,501.935,18.7987,208.82,389.841,115.936,210.402,387.041,66.2139,507.022,399.243,169.453,437.68,775.883,81.6217,535.748,828.591,-8.01692,436.126,780.646,59.3094,327.085,753.699,75.451,377.414,867.733
