Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,267.88,328.14,240.156,36.3484,460.224,227.609,-122.923,348.153,238.439,5.41309,204.57,215.177,267.256,346.566,132.93,213.273,451.566,164.74,-53.1111,465.654,160.3,-116.282,350.596,145.185,127.715,466.444,503.048,2.91932,471.851,551.102,-94.7413,460.701,487.094,70.1201,401.913,576.622,75.9563,262.108,622.183,72.7835,194.076,496.338,21.5385,183.797,381.995,118.665,184.988,379.574,71.9356,482.222,411.434,169.241,397.496,778.281,81.2124,493.602,835.726,-8.93691,396.66,783.231,58.5925,288.024,752.243,75.1959,333.79,868.075
11,0,267.876,328.17,240.165,36.3567,460.199,227.588,-122.911,348.163,238.44,5.42321,204.587,215.188,267.242,346.573,132.93,213.277,451.58,164.744,-53.113,465.653,160.294,-116.256,350.607,145.188,127.711,466.461,503.031,2.90957,471.861,551.092,-94.6881,460.614,486.976,70.119,401.934,576.615,75.951,262.13,622.186,72.7857,194.094,496.336,21.5457,183.805,382.001,118.659,184.993,379.568,71.9337,482.245,411.421,169.235,397.548,778.285,81.1974,493.645,835.71,-8.92906,396.712,783.206,58.6006,288.062,752.252,75.205,333.857,868.083
12,0,267.883,328.176,240.158,36.3608,460.161,227.554,-122.914,348.17,238.439,5.44821,204.595,215.187,267.274,346.585,132.878,213.281,451.59,164.723,-53.1016,465.668,160.282,-115.819,349.168,144.352,127.709,466.481,503.024,2.90255,471.871,551.086,-94.6926,460.63,486.972,70.1154,401.947,576.609,75.9527,262.144,622.179,72.7862,194.107,496.326,21.5513,183.816,381.969,118.68,185.013,379.547,71.9274,482.265,411.409,169.227,397.595,778.282,81.1924,493.697,835.685,-8.92599,396.753,783.201,58.6121,288.1,752.247,75.212,333.92,868.086
13,0,267.903,328.201,240.168,36.3598,460.104,227.501,-122.909,348.178,238.443,5.45779,204.595,215.193,267.293,346.602,132.855,213.284,451.593,164.709,-53.0924,465.676,160.284,-116.18,350.35,145.059,127.708,466.492,503.014,2.90647,471.877,551.078,-94.6883,460.631,486.948,70.1286,401.973,576.595,75.9587,262.156,622.189,72.7948,194.125,496.328,21.5636,183.837,381.985,118.686,185.025,379.544,71.9311,482.273,411.405,169.231,397.626,778.277,81.1916,493.737,835.664,-8.93481,396.787,783.21,58.6147,288.133,752.287,75.2276,333.967,868.087
14,0,267.909,328.207,240.17,36.3666,460.103,227.497,-122.906,348.193,238.452,5.46777,204.597,215.197,267.288,346.599,132.842,213.289,451.604,164.708,-53.0925,465.677,160.272,-116.164,350.324,145.05,127.713,466.503,503.009,2.90563,471.883,551.075,-94.6863,460.642,486.953,70.1245,401.974,576.577,75.9638,262.166,622.162,72.802,194.129,496.322,21.5628,183.841,381.957,118.705,185.049,379.508,71.9296,482.279,411.397,169.233,397.656,778.28,81.1879,493.769,835.64,-8.90914,396.799,783.2,58.6117,288.157,752.291,75.2418,334.011,868.085
15,0,267.913,328.217,240.163,36.3624,460.091,227.48,-122.907,348.204,238.453,5.46715,204.607,215.219,267.302,346.601,132.822,213.295,451.617,164.712,-53.1062,465.676,160.263,-116.16,350.329,145.046,127.712,466.513,503.004,2.90762,471.892,551.076,-94.688,460.651,486.957,70.1241,402,576.578,75.9665,262.179,622.162,72.8069,194.142,496.324,21.5609,183.846,381.972,118.704,185.065,379.515,71.9235,482.292,411.391,169.225,397.682,778.27,81.1828,493.797,835.635,-8.91942,396.822,783.2,58.6096,288.178,752.326,75.2497,334.045,868.091
16,0,267.915,328.217,240.166,36.3653,460.09,227.465,-122.912,348.197,238.452,5.47652,204.613,215.229,267.306,346.598,132.815,213.294,451.621,164.708,-53.0987,465.681,160.259,-116.168,350.318,145.042,127.712,466.533,503.005,2.91311,471.903,551.081,-94.6856,460.657,486.963,70.1289,402.024,576.579,75.9764,262.188,622.16,72.817,194.154,496.324,21.5776,183.863,381.973,118.729,185.087,379.463,71.9187,482.301,411.397,169.226,397.73,778.287,81.1751,493.821,835.633,-8.92489,396.836,783.195,58.6176,288.2,752.322,75.2449,334.063,868.087
17,0,267.925,328.23,240.173,36.3606,460.098,227.471,-122.907,348.194,238.449,5.47797,204.611,215.225,267.308,346.602,132.809,213.288,451.616,164.7,-53.104,465.68,160.257,-116.176,350.338,145.05,127.71,466.557,503.01,2.90837,471.918,551.09,-94.6827,460.661,486.966,70.1391,402.046,576.595,75.9824,262.194,622.164,72.8276,194.166,496.326,21.5746,183.872,381.979,118.717,185.104,379.486,71.9238,482.317,411.41,169.228,397.762,778.3,81.1594,493.84,835.639,-8.92155,396.84,783.2,58.6181,288.215,752.325,75.239,334.078,868.088
18,0,267.917,328.235,240.184,36.3573,460.124,227.498,-122.908,348.209,238.472,5.47469,204.615,215.262,267.278,346.586,132.815,213.285,451.62,164.72,-53.1028,465.692,160.267,-116.174,350.376,145.091,127.701,466.58,503.021,2.90154,471.939,551.105,-94.6918,460.684,486.987,70.1427,402.073,576.595,75.9899,262.215,622.154,72.8336,194.181,496.338,21.591,183.891,381.957,118.738,185.131,379.467,71.9216,482.341,411.422,169.212,397.777,778.32,81.1352,493.853,835.654,-8.91782,396.846,783.195,58.6138,288.228,752.33,75.2287,334.087,868.092
19,0,267.907,328.235,240.181,36.3544,460.124,227.498,-122.902,348.196,238.473,5.47755,204.617,215.285,267.27,346.603,132.87,213.277,451.634,164.721,-53.111,465.69,160.256,-116.178,350.401,145.098,127.694,466.593,503.02,2.90087,471.954,551.109,-94.7133,460.718,487.027,70.1435,402.088,576.595,75.995,262.229,622.157,72.8414,194.193,496.353,21.5884,183.894,382.03,118.724,185.138,379.523,71.9095,482.354,411.42,169.201,397.793,778.335,81.1201,493.851,835.673,-8.93218,396.845,783.205,58.623,288.233,752.328,75.2193,334.086,868.094
