Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,252.775,357.943,236.782,25.2068,496.99,225.179,-137.374,389.537,238.898,-13.7053,241.95,216.339,248.099,364.719,140.482,201.027,482.114,160.537,-64.8701,504.388,158.883,-129.727,390.095,149.261,120.614,500.914,480.075,-2.51574,506.844,532.777,-102.276,495.354,472.558,60.1848,433.769,573.008,67.1372,296.117,621.1,64.3961,227.256,479.355,9.02711,216.239,366.822,106.089,217.367,360.763,59.5546,509.17,409.344,168.217,408.482,775.993,85.1269,500.842,845.018,-9.94207,411.597,787.541,52.8908,305.129,743.72,75.0889,339.366,862.039
11,0,252.787,357.947,236.783,25.2184,496.955,225.177,-137.359,389.528,238.902,-13.6888,241.975,216.296,248.102,364.724,140.479,201.031,482.1,160.517,-64.8653,504.383,158.893,-129.75,390.164,149.334,120.588,500.853,480.109,-2.54144,506.759,532.814,-102.306,495.247,472.568,60.1703,433.682,573.034,67.1427,296.026,621.102,64.4241,227.205,479.321,9.07483,216.191,366.753,106.136,217.36,360.638,59.5337,509.112,409.367,168.163,408.291,775.992,85.0639,500.624,845.092,-9.99319,411.393,787.571,52.8943,304.989,743.635,75.0654,339.145,862.019
12,0,252.798,357.942,236.784,25.2218,496.921,225.182,-137.359,389.503,238.894,-13.6618,242.001,216.297,248.103,364.728,140.463,201.043,482.112,160.559,-64.8599,504.377,158.899,-129.759,390.211,149.391,120.565,500.793,480.16,-2.55264,506.678,532.84,-102.32,495.154,472.583,60.1462,433.584,573.06,67.1453,295.94,621.125,64.4468,227.153,479.311,9.10808,216.137,366.752,106.178,217.336,360.629,59.5213,509.06,409.395,168.114,408.128,776.056,85.0066,500.414,845.172,-10.0251,411.144,787.602,52.8881,304.835,743.612,75.0517,338.891,862
13,0,252.809,357.937,236.771,25.2229,496.884,225.184,-137.354,389.478,238.893,-13.6442,242,216.3,248.108,364.735,140.441,201.036,482.13,160.567,-64.8571,504.354,158.893,-129.76,390.197,149.407,120.54,500.727,480.195,-2.56622,506.595,532.859,-102.333,495.066,472.594,60.1287,433.48,573.071,67.1512,295.843,621.144,64.4847,227.099,479.268,9.14378,216.083,366.743,106.22,217.298,360.625,59.5173,509.001,409.394,168.077,407.955,776.093,84.9332,500.208,845.274,-10.0284,410.83,787.732,52.8916,304.687,743.567,75.0213,338.664,861.973
14,0,252.812,357.933,236.763,25.2137,496.843,225.194,-137.358,389.43,238.888,-13.6182,242.036,216.281,248.094,364.768,140.431,201.033,482.117,160.557,-64.8666,504.357,158.918,-129.779,390.222,149.461,120.52,500.666,480.234,-2.58461,506.51,532.881,-102.286,494.685,472.602,60.1057,433.396,573.094,67.172,295.763,621.134,64.5197,227.032,479.227,9.17308,216.032,366.685,106.237,217.259,360.625,59.5024,508.937,409.423,168.053,407.835,776.142,84.8479,499.998,845.353,-10.0824,410.633,787.729,52.8883,304.533,743.513,74.9922,338.44,861.964
15,0,252.816,357.904,236.724,25.2042,496.811,225.198,-137.346,389.385,238.893,-13.6048,242.028,216.263,248.102,364.757,140.427,201.025,482.122,160.561,-64.8677,504.32,158.927,-129.76,390.173,149.499,120.501,500.602,480.276,-2.61015,506.432,532.9,-102.373,494.895,472.627,60.0937,433.299,573.111,67.189,295.683,621.152,64.5339,226.961,479.213,9.18784,215.988,366.652,106.273,217.226,360.612,59.4931,508.859,409.444,168.036,407.734,776.174,84.7722,499.793,845.417,-10.1202,410.458,787.723,52.9064,304.398,743.409,74.9435,338.198,861.95
16,0,252.81,357.871,236.694,25.1958,496.767,225.209,-137.345,389.352,238.902,-13.5937,241.989,216.277,248.11,364.733,140.416,201.008,482.091,160.577,-64.8662,504.275,158.935,-129.771,390.165,149.567,120.485,500.542,480.313,-2.63164,506.351,532.925,-102.391,494.806,472.643,60.0772,433.206,573.138,67.1985,295.59,621.119,64.5463,226.88,479.191,9.20923,215.938,366.672,106.295,217.153,360.641,59.4904,508.795,409.471,167.979,407.6,776.203,84.6819,499.574,845.509,-10.158,410.251,787.707,52.905,304.231,743.363,74.9065,337.984,861.903
17,0,252.811,357.844,236.706,25.1961,496.723,225.215,-137.351,389.291,238.902,-13.5727,241.967,216.316,248.122,364.744,140.445,201.008,482.07,160.576,-64.8765,504.256,158.954,-129.774,390.109,149.579,120.47,500.478,480.347,-2.65151,506.271,532.95,-102.395,494.725,472.669,60.0708,433.112,573.149,67.1856,295.485,621.077,64.5495,226.794,479.177,9.23486,215.881,366.663,106.305,217.107,360.614,59.487,508.724,409.507,167.939,407.488,776.222,84.6018,499.373,845.56,-10.1971,410.067,787.695,52.8919,304.046,743.349,74.8827,337.777,861.882
18,0,252.814,357.834,236.708,25.202,496.658,225.21,-137.354,389.234,238.875,-13.5615,241.933,216.278,248.123,364.72,140.416,201.006,482.046,160.57,-64.8847,504.22,158.957,-129.784,390.059,149.582,120.461,500.409,480.359,-2.67136,506.19,532.969,-102.392,494.636,472.675,60.0537,433.024,573.167,67.172,295.386,621.063,64.5492,226.712,479.155,9.25002,215.84,366.649,106.309,217.06,360.573,59.4896,508.651,409.529,167.907,407.34,776.218,84.5252,499.19,845.601,-10.2199,409.861,787.708,52.8711,303.903,743.342,74.8681,337.607,861.848
19,0,252.809,357.8,236.701,25.205,496.589,225.203,-137.353,389.201,238.887,-13.5655,241.876,216.261,248.141,364.677,140.417,201.01,482.021,160.588,-64.8728,504.172,158.959,-129.773,390.026,149.617,120.466,500.338,480.37,-2.67943,506.098,532.986,-102.392,494.557,472.681,60.0544,432.919,573.193,67.1613,295.285,621.055,64.5441,226.63,479.157,9.25097,215.776,366.637,106.299,216.991,360.573,59.5079,508.554,409.533,167.88,407.184,776.215,84.4691,499.009,845.654,-10.2541,409.702,787.711,52.8618,303.759,743.31,74.8514,337.409,861.835
20,0,252.812,357.74,236.706,25.2058,496.52,225.2,-137.36,389.147,238.877,-13.5536,241.822,216.256,248.159,364.642,140.445,200.994,481.969,160.591,-64.8756,504.12,158.959,-129.768,389.975,149.631,120.464,500.257,480.369,-2.68099,506.007,532.994,-102.394,494.476,472.687,60.052,432.806,573.193,67.1576,295.188,621.049,64.5312,226.551,479.163,9.24195,215.72,366.637,106.276,216.912,360.626,59.5135,508.445,409.521,167.831,407.031,776.234,84.4134,498.831,845.709,-10.3163,409.617,787.57,52.8709,303.629,743.227,74.8285,337.202,861.806
21,0,252.805,357.7,236.704,25.1969,496.479,225.208,-137.368,389.089,238.854,-13.5565,241.781,216.224,248.148,364.621,140.434,200.987,481.951,160.614,-64.8867,504.068,158.959,-129.782,389.924,149.613,120.46,500.183,480.352,-2.68608,505.928,532.993,-102.398,494.408,472.683,60.0477,432.675,573.184,67.165,295.105,621.016,64.5257,226.476,479.136,9.22355,215.655,366.64,106.26,216.84,360.633,59.5125,508.36,409.521,167.793,406.909,776.274,84.3536,498.647,845.751,-10.4512,409.418,787.817,52.8751,303.49,743.146,74.7912,337.026,861.779
