Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,268.739,343.362,242.353,35.4213,470.034,220.17,-122.514,357.746,238.2,8.3132,215.18,224.781,268.097,352.836,135.088,212.577,460.538,158.9,-53.8074,471.061,152.983,-115.065,350.189,145.002,125.004,502.338,487.31,-0.0190899,509.614,534.781,-97.1587,488.998,472.322,71.1724,443.738,567.976,79.5289,311.223,630.596,77.2603,229.35,508.416,26.2834,205.449,397.533,123.336,208.313,395.346,68.8276,506.552,395.619,167.756,426.396,775.845,78.7662,513.98,844.426,-10.4326,423.945,778.707,57.804,320.455,734.314,73.0574,351.438,854.882
11,0,268.701,343.378,242.355,35.4205,470.057,220.183,-122.517,357.766,238.201,8.29746,215.192,224.833,268.08,352.853,135.09,212.571,460.559,158.912,-53.8169,471.084,152.991,-115.067,350.195,144.992,125.005,502.368,487.315,-0.014015,509.649,534.797,-96.9707,489.085,472.306,71.1745,443.787,567.984,79.5338,311.245,630.613,77.2554,229.36,508.447,26.2747,205.48,397.544,123.34,208.338,395.362,68.827,506.593,395.62,167.76,426.434,775.829,78.7828,514.041,844.409,-10.4093,423.986,778.708,57.8159,320.488,734.368,73.0652,351.495,854.898
12,0,268.661,343.402,242.361,35.4226,470.092,220.211,-122.507,357.807,238.243,8.29475,215.202,224.864,268.064,352.876,135.085,212.564,460.584,158.926,-53.8193,471.098,153.008,-115.066,350.202,144.995,125.017,502.392,487.331,-0.000701064,509.683,534.82,-96.9434,489.126,472.321,71.1816,443.854,567.998,79.5354,311.26,630.606,77.2401,229.362,508.471,26.2635,205.501,397.545,123.331,208.359,395.335,68.8414,506.638,395.648,167.769,426.46,775.828,78.8064,514.088,844.396,-10.3842,424.032,778.705,57.8139,320.525,734.409,73.0782,351.53,854.905
13,0,268.682,343.396,242.358,35.4431,470.107,220.208,-122.486,357.8,238.232,8.30337,215.212,224.814,268.087,352.875,135.068,212.578,460.61,158.922,-53.7996,471.095,153,-115.063,350.209,145.001,125.058,502.411,487.331,0.0340869,509.688,534.823,-96.9232,489.163,472.321,71.216,443.879,567.995,79.5436,311.275,630.597,77.2304,229.368,508.468,26.2547,205.531,397.494,123.323,208.368,395.314,68.8743,506.666,395.668,167.788,426.475,775.826,78.8427,514.104,844.387,-10.3597,424.07,778.7,57.819,320.554,734.404,73.0989,351.559,854.896
14,0,268.747,343.373,242.343,35.4443,470.068,220.176,-122.498,357.786,238.228,8.30843,215.224,224.868,268.123,352.861,135.05,212.592,460.597,158.882,-53.7857,471.072,152.977,-115.054,350.2,145.014,125.092,502.378,487.324,0.080893,509.673,534.821,-96.8957,489.192,472.317,71.2548,443.871,567.992,79.5395,311.287,630.599,77.2207,229.374,508.502,26.2492,205.565,397.493,123.309,208.386,395.319,68.9247,506.636,395.629,167.823,426.473,775.842,78.8765,514.108,844.397,-10.3468,424.093,778.706,57.8314,320.584,734.408,73.1192,351.565,854.9
15,0,268.793,343.331,242.331,35.4538,470.058,220.165,-122.493,357.792,238.245,8.31903,215.217,224.874,268.165,352.856,135.041,212.623,460.588,158.851,-53.7854,471.059,152.97,-115.054,350.196,145.031,125.142,502.384,487.328,0.115604,509.687,534.826,-96.8632,489.22,472.317,71.2764,443.876,567.984,79.5396,311.288,630.591,77.2053,229.38,508.508,26.2335,205.576,397.501,123.305,208.383,395.322,68.9775,506.626,395.617,167.85,426.457,775.855,78.9155,514.098,844.407,-10.3337,424.116,778.715,57.8297,320.598,734.415,73.1435,351.562,854.894
16,0,268.809,343.328,242.323,35.4598,470.061,220.163,-122.483,357.805,238.264,8.33248,215.229,224.84,268.161,352.876,135.042,212.639,460.583,158.839,-53.7763,471.056,152.961,-115.048,350.202,145.032,125.164,502.377,487.323,0.0996054,509.474,534.832,-96.8405,489.251,472.313,71.2837,443.905,567.993,79.5331,311.294,630.584,77.1862,229.396,508.491,26.2285,205.597,397.466,123.286,208.398,395.319,69.0053,506.638,395.611,167.872,426.45,775.87,78.9451,514.094,844.42,-10.3176,424.133,778.71,57.8278,320.605,734.396,73.1549,351.556,854.883
17,0,268.818,343.345,242.326,35.4587,470.055,220.162,-122.487,357.783,238.248,8.33156,215.232,224.848,268.163,352.878,135.05,212.637,460.598,158.848,-53.7831,471.053,152.962,-115.054,350.194,145.029,125.178,502.384,487.318,0.145225,509.691,534.826,-96.8307,489.274,472.31,71.288,443.919,567.984,79.5306,311.31,630.588,77.1736,229.415,508.495,26.2144,205.622,397.473,123.27,208.401,395.305,69.0186,506.648,395.608,167.881,426.443,775.881,78.9678,514.09,844.438,-10.3071,424.141,778.715,57.8323,320.618,734.391,73.1543,351.554,854.887
18,0,268.781,343.379,242.321,35.45,470.064,220.158,-122.489,357.778,238.243,8.33369,215.23,224.875,268.153,352.901,135.064,212.616,460.602,158.839,-53.7975,471.06,152.98,-115.05,350.189,145.04,125.176,502.413,487.332,0.148016,509.713,534.831,-96.8227,489.304,472.314,71.2998,443.944,567.98,79.5233,311.314,630.598,77.1575,229.421,508.506,26.1999,205.624,397.495,123.26,208.407,395.332,69.0287,506.67,395.608,167.877,426.444,775.874,78.9904,514.077,844.451,-10.2966,424.147,778.726,57.8268,320.609,734.408,73.1514,351.538,854.89
19,0,268.708,343.398,242.31,35.4324,470.093,220.187,-122.488,357.788,238.26,8.32258,215.224,224.869,268.107,352.903,135.071,212.581,460.631,158.891,-53.8111,471.081,152.994,-115.052,350.199,145.034,125.164,502.44,487.347,0.137423,509.763,534.844,-96.8262,489.346,472.327,71.2938,443.994,567.993,79.5123,311.322,630.589,77.1416,229.435,508.508,26.1784,205.647,397.487,123.237,208.412,395.319,69.0036,506.72,395.64,167.866,426.442,775.867,79.0053,514.07,844.468,-10.2857,424.155,778.729,57.8184,320.612,734.387,73.1333,351.534,854.896
