Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,264.207,328.058,237.691,32.4618,459.765,223.963,-126.424,347.169,235.365,2.38947,203.36,213.696,258.534,340.447,129.733,209.679,451.765,162.302,-56.6859,464.665,157.032,-120.661,342.156,143.777,121.833,474.695,483.265,-2.96054,482.307,531.418,-100.353,466.089,468.256,66.8949,410.944,566.038,71.2926,277.166,621.698,69.1215,203.126,495.808,17.8026,183.707,383.646,114.826,185.823,380.072,65.4828,481.499,396.119,167.595,402.687,775.051,80.2511,493.592,840.304,-9.7403,400.136,781.645,57.3599,294.858,741.332,74.846,331.7,860.08
11,0,264.227,328.071,237.699,32.4712,459.771,223.95,-126.405,347.19,235.368,2.37695,203.369,213.678,258.555,340.443,129.749,209.704,451.752,162.287,-56.6384,464.639,156.981,-120.652,342.18,143.789,121.894,474.654,483.276,-2.89698,482.294,531.456,-100.302,466.079,468.291,66.9477,410.882,566.066,71.3299,277.139,621.672,69.1374,203.096,495.797,17.8102,183.704,383.627,114.824,185.806,380.012,65.5302,481.502,396.151,167.671,402.675,775.053,80.3109,493.588,840.283,-9.68974,400.135,781.637,57.4019,294.847,741.31,74.9021,331.691,860.086
12,0,264.228,328.037,237.688,32.4837,459.789,223.951,-126.392,347.201,235.37,2.38061,203.363,213.76,258.553,340.426,129.725,209.728,451.731,162.261,-56.6281,464.63,156.966,-120.635,342.182,143.785,121.942,474.62,483.298,-2.83391,482.273,531.495,-100.253,466.075,468.332,66.9983,410.827,566.098,71.3707,277.108,621.661,69.1556,203.071,495.799,17.8026,183.702,383.647,114.827,185.79,380.018,65.5674,481.495,396.177,167.724,402.655,775.056,80.379,493.578,840.262,-9.62955,400.122,781.633,57.4496,294.825,741.326,74.9538,331.676,860.101
13,0,264.208,328.035,237.682,32.4765,459.782,223.931,-126.407,347.188,235.36,2.38785,203.351,213.794,258.551,340.422,129.725,209.711,451.73,162.254,-56.6458,464.624,156.94,-120.641,342.155,143.761,121.963,474.593,483.312,-2.78928,482.264,531.532,-100.227,466.08,468.378,67.025,410.788,566.124,71.4051,277.083,621.675,69.1703,203.05,495.818,17.8046,183.683,383.669,114.829,185.783,380.038,65.5796,481.492,396.205,167.767,402.645,775.056,80.431,493.549,840.257,-9.5767,400.1,781.636,57.5014,294.8,741.363,75.0036,331.652,860.115
14,0,264.216,328.06,237.687,32.4742,459.789,223.924,-126.404,347.19,235.352,2.36835,203.353,213.804,258.565,340.411,129.714,209.71,451.715,162.223,-56.6512,464.657,156.949,-120.651,342.169,143.781,122,474.574,483.317,-2.75042,482.256,531.555,-100.195,466.086,468.411,67.0492,410.772,566.144,71.4443,277.063,621.652,69.18,203.03,495.816,17.8045,183.672,383.651,114.845,185.756,380.006,65.5965,481.496,396.22,167.819,402.637,775.049,80.494,493.515,840.255,-9.7588,400.134,781.898,57.5421,294.779,741.379,75.066,331.618,860.105
15,0,264.214,328.075,237.699,32.4837,459.802,223.929,-126.389,347.193,235.359,2.3491,203.356,213.818,258.55,340.404,129.708,209.708,451.722,162.238,-56.6493,464.664,156.959,-120.63,342.17,143.796,122.049,474.567,483.335,-2.69897,482.256,531.582,-100.159,466.089,468.45,67.088,410.751,566.173,71.4765,277.047,621.663,69.2073,203.017,495.83,17.8213,183.675,383.649,114.851,185.744,380.018,65.6286,481.512,396.247,167.87,402.63,775.041,80.5652,493.481,840.267,-9.45479,400.044,781.631,57.5924,294.743,741.401,75.1479,331.586,860.085
16,0,264.198,328.006,237.689,32.4832,459.803,223.927,-126.387,347.201,235.363,2.35486,203.335,213.847,258.545,340.39,129.699,209.707,451.703,162.23,-56.6494,464.659,156.961,-120.627,342.173,143.791,122.092,474.544,483.337,-2.65667,482.247,531.603,-100.124,466.087,468.487,67.1211,410.73,566.182,71.5217,277.021,621.663,69.2245,202.997,495.858,17.8221,183.645,383.694,114.863,185.717,380.015,65.6466,481.531,396.272,167.924,402.609,775.02,80.6289,493.431,840.277,-9.38453,400.005,781.638,57.6512,294.693,741.435,75.2308,331.539,860.077
17,0,264.201,328.026,237.708,32.4768,459.793,223.932,-126.405,347.188,235.358,2.33111,203.331,213.856,258.557,340.388,129.699,209.717,451.707,162.231,-56.653,464.668,156.963,-120.648,342.179,143.793,122.13,474.518,483.333,-2.61645,482.236,531.617,-100.093,466.085,468.513,67.1518,410.714,566.205,71.5683,276.994,621.66,69.2502,202.979,495.858,17.8265,183.637,383.685,114.866,185.684,380.019,65.6654,481.535,396.277,168.017,402.579,775.013,80.705,493.375,840.275,-9.50345,399.96,781.926,57.7186,294.647,741.431,75.3055,331.478,860.06
18,0,264.196,327.966,237.674,32.4802,459.784,223.949,-126.403,347.2,235.376,2.31197,203.323,213.783,258.559,340.369,129.706,209.735,451.678,162.247,-56.6295,464.626,156.952,-120.655,342.175,143.795,122.176,474.485,483.339,-2.57229,482.208,531.628,-100.056,466.069,468.552,67.1952,410.679,566.211,71.6055,276.971,621.667,69.2735,202.964,495.863,17.8341,183.629,383.702,114.878,185.687,379.959,65.699,481.51,396.287,168.12,402.532,775.025,80.7826,493.317,840.297,-9.25348,399.897,781.673,57.7855,294.61,741.381,75.3904,331.422,860.068
19,0,264.21,327.929,237.67,32.4894,459.78,223.958,-126.395,347.188,235.363,2.29925,203.327,213.771,258.569,340.356,129.693,209.756,451.673,162.263,-56.6033,464.625,156.952,-120.635,342.17,143.784,122.226,474.454,483.335,-2.52555,482.191,531.641,-100.017,466.066,468.569,67.2596,410.666,566.182,71.6418,276.941,621.679,69.291,202.949,495.872,17.8243,183.62,383.717,114.887,185.652,379.975,65.7268,481.507,396.293,168.204,402.495,775.027,80.8591,493.253,840.325,-9.18788,399.845,781.69,57.8508,294.574,741.373,75.4821,331.369,860.062
