Trajectories
100
,,WRAPS2_Chawin:P_Top_R,,,WRAPS2_Chawin:P_Front_L,,,WRAPS2_Chawin:P_Top_L,,,WRAPS2_Chawin:P_Back_L,,,WRAPS2_Chawin:P_Hip_R,,,WRAPS2_Chawin:P_ASIS_R,,,WRAPS2_Chawin:P_ASIS_L,,,WRAPS2_Chawin:P_Hip_L,,,WRAPS2_Chawin:T_Front_R,,,WRAPS2_Chawin:T_Front_L,,,WRAPS2_Chawin:T_Side_L,,,WRAPS2_Chawin:T_SternalNotch,,,WRAPS2_Chawin:T_C7,,,WRAPS2_Chawin:T_T8_Top,,,WRAPS2_Chawin:T_T8_L,,,WRAPS2_Chawin:T_T8_R,,,WRAPS2_Chawin:T_Xyphoid,,,WRAPS2_Chawin:H_Ear_R,,,WRAPS2_Chawin:H_Forehead,,,WRAPS2_Chawin:H_Ear_L,,,WRAPS2_Chawin:H_Occiput,,,WRAPS2_Chawin:H_Vertex,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,252.552,378.81,232.573,23.8524,514.962,221.656,-137.448,406.099,233.355,-12.5696,260.853,209.599,247.735,384.497,136.423,200.01,503.218,157.756,-65.9539,523.182,155.7,-129.328,410.958,148.714,117.14,538.972,467.573,-6.62837,548.705,517.253,-105.204,529.528,456.805,57.9089,481.501,562.473,66.5201,346.945,623.338,63.7307,265.202,492.402,10.1164,242.153,382.325,107.25,243.071,378.11,56.5638,542.836,393.651,160.539,467.471,768.516,74.554,553.991,840.443,-16.6961,465.876,776.043,48.9846,362.602,729.059,67.4831,391.892,849.065
11,0,252.557,378.811,232.555,23.847,514.956,221.637,-137.449,406.083,233.342,-12.568,260.852,209.6,247.736,384.492,136.39,200.011,503.224,157.75,-65.9649,523.171,155.678,-129.385,410.486,147.146,117.13,538.977,467.563,-6.63548,548.695,517.253,-105.219,529.529,456.805,57.9117,481.488,562.432,66.5194,346.943,623.336,63.731,265.195,492.425,10.1089,242.159,382.316,107.256,243.078,378.098,56.5549,542.834,393.649,160.564,467.447,768.509,74.5913,553.982,840.443,-16.6675,465.885,776.048,48.9907,362.609,729.052,67.502,391.884,849.06
12,0,252.588,378.787,232.536,23.847,514.922,221.612,-137.45,406.065,233.329,-12.565,260.848,209.604,247.738,384.508,136.397,200.008,503.213,157.717,-65.9557,523.134,155.669,-129.367,410.94,148.571,117.136,538.956,467.552,-6.63511,548.676,517.256,-105.218,529.517,456.804,57.9237,481.454,562.416,66.5217,346.946,623.326,63.7212,265.188,492.434,10.114,242.164,382.307,107.248,243.085,378.084,56.5547,542.812,393.652,160.6,467.415,768.503,74.6357,553.97,840.448,-16.646,465.908,776.053,48.9872,362.61,729.063,67.5251,391.875,849.053
13,0,252.641,378.737,232.526,23.8648,514.887,221.59,-137.459,406.084,233.341,-12.5642,260.843,209.618,247.764,384.508,136.401,200.024,503.186,157.739,-65.9584,523.103,155.665,-129.364,410.912,148.479,117.153,538.942,467.541,-6.62682,548.659,517.256,-105.211,529.506,456.802,57.7849,481.455,562.618,66.5342,346.953,623.33,63.7357,265.188,492.439,10.1178,242.164,382.309,107.249,243.085,378.082,56.5704,542.772,393.636,160.653,467.377,768.513,74.6889,553.954,840.452,-16.6206,465.919,776.065,48.9818,362.611,729.066,67.5546,391.863,849.043
14,0,252.651,378.66,232.494,23.8616,514.868,221.576,-137.473,406.074,233.347,-12.5723,260.826,209.566,247.747,384.503,136.396,200.018,503.17,157.721,-65.9552,523.092,155.645,-129.38,410.89,148.408,117.156,538.942,467.538,-6.62772,548.644,517.25,-105.221,529.498,456.789,57.7993,481.44,562.609,66.5414,346.951,623.31,63.7422,265.187,492.447,10.1196,242.156,382.306,107.26,243.09,378.085,56.5661,542.776,393.63,160.68,467.351,768.516,74.7288,553.941,840.45,-16.5991,465.928,776.071,48.9795,362.624,729.033,67.5749,391.855,849.026
15,0,252.616,378.672,232.49,23.8251,514.858,221.565,-137.503,406.051,233.32,-12.5801,260.83,209.578,247.738,384.505,136.387,200.005,503.178,157.728,-65.9748,523.089,155.648,-129.396,410.913,148.422,117.137,538.931,467.515,-6.64169,548.646,517.241,-105.233,529.491,456.783,57.7411,481.449,562.652,66.5401,346.957,623.309,63.7384,265.188,492.456,10.116,242.162,382.313,107.256,243.079,378.075,56.5416,542.772,393.608,160.692,467.343,768.502,74.759,553.934,840.455,-16.588,465.936,776.078,48.9741,362.623,729.037,67.5804,391.849,849.022
16,0,252.572,378.76,232.52,23.7942,514.908,221.601,-137.5,406.046,233.319,-12.5897,260.829,209.581,247.708,384.517,136.39,199.969,503.215,157.722,-65.9875,523.102,155.651,-129.408,410.916,148.487,117.109,538.944,467.51,-6.65993,548.665,517.239,-105.246,529.504,456.788,57.406,481.498,563.06,66.5357,346.966,623.318,63.7322,265.192,492.452,10.1053,242.153,382.341,107.251,243.086,378.087,56.5087,542.806,393.628,160.675,467.345,768.478,74.7794,553.933,840.465,-16.5673,465.952,776.081,48.9716,362.628,729.034,67.5819,391.845,849.018
17,0,252.502,378.819,232.587,23.7741,514.953,221.635,-137.513,406.067,233.335,-12.6034,260.822,209.563,247.691,384.52,136.41,199.95,503.254,157.75,-66.0184,523.147,155.673,-129.402,410.9,148.475,117.096,538.971,467.524,-6.6676,548.695,517.241,-105.257,529.53,456.799,57.6655,481.5,562.724,66.5327,346.973,623.315,63.725,265.2,492.458,10.0973,242.156,382.311,107.234,243.09,378.07,56.4953,542.826,393.644,160.658,467.354,768.457,74.7947,553.933,840.472,-16.5537,465.968,776.084,48.96,362.63,729.034,67.5835,391.846,849.012
18,0,252.469,378.807,232.559,23.7555,514.961,221.637,-137.512,406.06,233.33,-12.6127,260.824,209.555,247.683,384.518,136.406,199.926,503.259,157.739,-66.0255,523.153,155.671,-129.394,410.948,148.631,117.087,538.988,467.518,-6.66511,548.708,517.235,-105.26,529.546,456.799,57.416,481.54,563.059,66.5229,346.986,623.318,63.722,265.206,492.471,10.0859,242.16,382.338,107.211,243.081,378.107,56.4889,542.831,393.64,160.665,467.35,768.45,74.8106,553.935,840.478,-16.544,465.977,776.083,48.9544,362.636,729.026,67.5909,391.849,849.003
19,0,252.474,378.765,232.547,23.7385,514.921,221.614,-137.529,406.027,233.307,-12.6177,260.815,209.58,247.678,384.495,136.407,199.927,503.221,157.724,-66.0331,523.108,155.645,-129.407,410.951,148.685,117.09,538.973,467.496,-6.66528,548.705,517.23,-105.262,529.542,456.796,57.6631,481.512,562.716,66.5292,346.99,623.302,63.7007,265.204,492.478,10.0732,242.163,382.331,107.2,243.081,378.111,56.4872,542.819,393.618,160.682,467.34,768.457,74.8259,553.93,840.48,-16.5384,465.977,776.093,48.9676,362.638,729.023,67.602,391.842,849.004
