Devices
1000
,,Seat Plate - Force,,,Seat Plate - Moment,,,Seat Plate - CoP,,,Foot Plate - Force,,,Foot Plate - Moment,,,Foot Plate - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
4,2,-13.5886,-12.1017,-611.281,-209390,5180.19,5310.24,58.4743,421.158,7.86,3.91144,11.4944,-144.594,-5953.95,-874.511,1538.77,89.952,826.177,-478
4,3,-9.01093,-12.4069,-619.826,-213510,4813.98,5584.9,57.7667,423.083,7.86,3.91144,10.8841,-137.27,-7144.13,1048.1,1401.44,103.635,837.044,-478
4,4,-8.40057,-12.4069,-611.281,-209390,5546.4,3524.96,59.0734,421.158,7.86,3.91144,12.1048,-136.049,-5862.4,-1149.17,2362.75,87.5533,828.09,-478
4,5,-9.3161,-11.7966,-610.06,-209116,5363.29,5035.58,58.7914,421.394,7.86,4.52179,11.7996,-142.153,-5862.4,-599.852,1401.44,91.7802,826.24,-478
4,6,-11.7575,-12.7121,-611.281,-207742,4997.08,5035.58,58.1748,418.463,7.86,2.38556,13.0203,-137.27,-7144.13,-325.194,2362.75,93.631,837.044,-478
4,7,-9.62128,-13.9328,-616.164,-209665,4905.53,6820.86,57.9614,418.89,7.86,3.30109,13.0203,-133.608,-5953.95,1322.76,1676.1,105.9,829.563,-478
4,8,-9.01093,-12.1017,-612.502,-209940,5271.74,5722.23,58.6069,421.373,7.86,3.30109,9.05304,-136.049,-5587.74,-599.852,2362.75,91.5909,826.071,-478
4,9,-14.1989,-12.4069,-613.112,-209116,5180.19,5172.91,58.449,419.688,7.86,1.47003,11.4944,-145.815,-5953.95,-1149.17,2225.42,88.119,825.832,-478
5,0,-10.5368,-12.4069,-616.774,-209665,4905.53,5996.89,57.9535,418.553,7.86,3.91144,12.41,-137.88,-6869.48,1048.1,1676.1,103.602,834.822,-478
5,1,-9.62128,-13.0173,-613.112,-209390,5821.06,6271.54,59.4943,420.135,7.86,3.91144,12.41,-136.049,-6045.5,-1423.83,1950.76,85.5345,829.436,-478
5,2,-10.2316,-13.0173,-612.502,-210214,5363.29,5859.56,58.7564,421.821,7.86,2.69074,10.2737,-139.101,-5953.95,-2247.8,2088.09,79.8405,827.803,-478
5,3,-13.2834,-13.0173,-613.723,-206369,5088.64,5172.91,58.2914,414.873,7.86,1.16486,10.8841,-140.322,-6137.05,-1149.17,3598.71,87.8105,828.736,-478
5,4,-9.92645,-13.6276,-615.554,-209390,5271.74,8056.82,58.5642,418.781,7.86,3.30109,10.2737,-140.322,-6045.5,-599.852,2088.09,91.7252,828.083,-478
5,5,-9.3161,-12.4069,-613.112,-209665,5821.06,5310.24,59.4943,420.583,7.86,3.30109,8.13751,-139.711,-5862.4,-1149.17,2088.09,87.7747,826.961,-478
5,6,-10.2316,-10.5759,-614.333,-209665,5088.64,5310.24,58.2832,419.904,7.86,1.47003,11.4944,-140.932,-5862.4,-599.852,1950.76,91.7437,826.597,-478
5,7,-9.01093,-12.7121,-614.333,-205820,5454.85,5584.9,58.8793,413.645,7.86,3.60626,11.7996,-137.88,-5770.84,-874.511,1676.1,89.6575,826.854,-478
5,8,-9.3161,-12.4069,-612.502,-209390,5729.5,7232.85,59.3543,420.476,7.86,3.91144,13.0203,-138.491,-6045.5,-874.511,1126.78,89.6854,828.653,-478
5,9,-9.62128,-12.1017,-614.943,-210214,5363.29,5584.9,58.7216,420.459,7.86,3.60626,11.4944,-136.049,-6045.5,-325.194,1950.76,93.6097,829.436,-478
6,0,-12.673,-12.4069,-612.502,-206918,5271.74,5035.58,58.6069,416.44,7.86,2.38556,12.7151,-137.27,-5221.53,-599.852,3598.71,91.6301,823.038,-478
6,1,-6.87469,-12.7121,-617.385,-210214,5271.74,8194.15,58.5388,419.107,7.86,3.60626,10.5789,-138.491,-6045.5,-599.852,1950.76,91.6686,828.653,-478
6,2,-10.5368,-12.1017,-613.723,-208841,5821.06,5722.23,59.4848,418.901,7.86,4.21662,11.7996,-138.491,-6137.05,-1423.83,1264.11,85.719,829.314,-478
6,3,-8.0954,-9.35516,-614.333,-209940,5363.29,5447.57,58.7303,420.351,7.86,4.52179,12.41,-131.777,-5862.4,-325.194,1676.1,93.5322,829.487,-478
6,4,-9.62128,-12.4069,-612.502,-204172,5454.85,5584.9,58.9058,411.956,7.86,4.21662,13.0203,-136.049,-4672.21,-1973.14,1950.76,81.4968,819.342,-478
6,5,-9.92645,-11.4914,-612.502,-209665,5088.64,6958.19,58.308,420.924,7.86,4.21662,15.7669,-137.88,-5953.95,-50.536,1126.78,95.6335,828.182,-478
6,6,-10.2316,-12.1017,-614.943,-209665,5180.19,5584.9,58.4239,419.565,7.86,5.13214,12.41,-128.115,-6045.5,-50.536,2225.42,95.6055,832.188,-478
6,7,-9.01093,-12.1017,-614.333,-208017,5088.64,6408.87,58.2832,417.221,7.86,4.52179,11.1893,-138.491,-4580.66,-599.852,2225.42,91.6686,818.076,-478
6,8,-9.92645,-11.4914,-619.216,-209665,5180.19,6820.86,58.3657,417.213,7.86,3.30109,9.96857,-140.322,-6045.5,-2247.8,1538.77,79.9811,828.083,-478
6,9,-9.62128,-12.1017,-613.723,-209116,5363.29,6134.22,58.739,419.348,7.86,2.99591,14.5462,-140.322,-6411.71,-874.511,1264.11,89.7678,830.693,-478
7,0,-6.26434,-9.35516,-615.554,-209665,5454.85,6134.22,58.8617,419.227,7.86,4.52179,9.66339,-131.166,-6228.61,-599.852,1126.78,91.4268,832.486,-478
7,1,-9.92645,-12.4069,-612.502,-206094,5546.4,5859.56,59.0553,415.095,7.86,3.60626,8.74786,-139.101,-5129.97,-2247.8,1538.77,79.8405,821.88,-478
7,2,-9.62128,-11.7966,-614.943,-210489,4813.98,6683.53,57.8283,420.905,7.86,3.91144,13.6307,-140.932,-5953.95,-874.511,1264.11,89.7948,827.247,-478
7,3,-9.3161,-12.7121,-616.164,-209665,5363.29,5584.9,58.7043,418.89,7.86,4.21662,10.8841,-131.166,-6045.5,-1423.83,1950.76,85.1449,831.09,-478
7,4,-9.3161,-12.7121,-615.554,-209116,5546.4,5859.56,59.0104,418.335,7.86,5.13214,9.96857,-138.491,-4763.76,-599.852,1950.76,91.6686,819.398,-478
7,5,-8.70575,-13.0173,-615.554,-209940,5088.64,4898.25,58.2668,419.673,7.86,3.60626,11.1893,-138.491,-5862.4,-2797.12,2088.09,75.8028,827.331,-478
7,6,-10.5368,-13.9328,-614.943,-208292,5454.85,5859.56,58.8705,417.332,7.86,2.99591,17.2928,-137.27,-5953.95,-599.852,1950.76,91.6301,828.374,-478
7,7,-5.95917,-10.5759,-614.943,-209940,5271.74,5859.56,58.5727,420.012,7.86,6.04767,11.7996,-129.335,-6045.5,-599.852,714.796,91.362,831.743,-478
7,8,-10.2316,-11.7966,-613.723,-207193,5637.95,6134.22,59.1865,416.216,7.86,4.52179,10.5789,-137.27,-4946.87,-1149.17,1950.76,87.6284,821.038,-478
7,9,-9.3161,-10.881,-616.164,-209940,4539.32,6271.54,57.3671,419.336,7.86,4.52179,13.0203,-139.711,-6045.5,-1149.17,1538.77,87.7747,828.271,-478
8,0,-9.92645,-13.0173,-614.943,-208292,5454.85,5859.56,58.8705,417.332,7.86,4.52179,12.7151,-132.997,-6045.5,-2247.8,1813.43,79.0989,830.456,-478
8,1,-8.0954,-11.4914,-615.554,-214060,5271.74,6271.54,58.5642,426.366,7.86,6.04767,11.7996,-134.828,-5404.63,-874.511,440.138,89.5139,825.085,-478
8,2,-9.3161,-11.7966,-613.723,-211038,5180.19,4074.28,58.4406,422.481,7.86,4.52179,12.41,-136.66,-5679.29,-2247.8,1950.76,79.5518,826.558,-478
8,3,-12.0627,-12.4069,-615.554,-209116,5180.19,5996.89,58.4155,418.335,7.86,2.99591,16.9876,-135.439,-5679.29,-325.194,2088.09,93.599,826.933,-478
8,4,-7.17987,-13.3224,-614.943,-209940,5729.5,6820.86,59.3171,420.012,7.86,5.43732,11.7996,-133.608,-5953.95,-1698.49,440.138,83.2875,829.563,-478
8,5,-10.2316,-12.4069,-611.281,-210489,5454.85,5584.9,58.9236,422.956,7.86,3.91144,10.5789,-138.491,-5587.74,-1149.17,1813.43,87.7022,825.347,-478
8,6,-9.62128,-11.4914,-616.774,-209665,4813.98,5722.23,57.8051,418.553,7.86,3.60626,11.4944,-142.153,-6137.05,-1423.83,1676.1,85.9838,828.172,-478
8,7,-9.3161,-14.238,-614.333,-208566,5454.85,5722.23,58.8793,418.116,7.86,4.52179,9.35822,-140.932,-5862.4,-2797.12,1813.43,76.1527,826.597,-478
8,8,-7.48505,-12.4069,-615.554,-214884,5180.19,7095.52,58.4155,427.705,7.86,5.43732,10.8841,-139.101,-6503.27,-50.536,-933.153,95.6367,831.752,-478
8,9,-10.2316,-13.0173,-615.554,-209665,5454.85,4348.94,58.8617,419.227,7.86,3.60626,10.8841,-138.491,-6045.5,-874.511,1950.76,89.6854,828.653,-478
9,0,-10.2316,-12.4069,-613.723,-209390,5180.19,5859.56,58.4406,419.796,7.86,3.30109,15.1566,-137.88,-5587.74,-1423.83,2088.09,85.6735,825.526,-478
9,1,-7.17987,-15.1535,-614.333,-209940,5088.64,5584.9,58.2832,420.351,7.86,4.82697,11.1893,-137.88,-6045.5,-50.536,165.48,95.6335,828.846,-478
9,2,-9.3161,-12.4069,-613.723,-212686,4813.98,5310.24,57.8439,425.166,7.86,3.91144,10.8841,-136.66,-6411.71,224.122,1676.1,97.64,831.917,-478
9,3,-8.40057,-11.7966,-614.333,-209665,5180.19,5035.58,58.4322,419.904,7.86,3.91144,6.91681,-136.66,-6045.5,-599.852,2500.07,91.6106,829.238,-478
9,4,-9.92645,-14.5431,-614.333,-209390,5088.64,5447.57,58.2832,419.457,7.86,4.52179,11.1893,-143.984,-5862.4,-5269.04,1676.1,59.4053,825.716,-478
9,5,-7.79022,-11.7966,-613.112,-215707,4356.22,6271.54,57.1051,430.439,7.86,4.21662,12.1048,-137.27,-6869.48,-325.194,-1345.14,93.631,835.044,-478
9,6,-8.70575,-11.1862,-611.281,-209390,4722.42,4348.94,57.7255,421.158,7.86,3.60626,11.7996,-136.66,-6045.5,-599.852,2225.42,91.6106,829.238,-478
9,7,-8.70575,-11.7966,-614.333,-208841,5180.19,5996.89,58.4322,418.563,7.86,3.91144,13.0203,-135.439,-5679.29,-599.852,2088.09,91.571,826.933,-478
9,8,-9.3161,-16.069,-613.723,-209665,5271.74,5584.9,58.5898,420.243,7.86,3.91144,12.7151,-141.542,-6045.5,-599.852,1126.78,91.762,827.712,-478
9,9,-7.79022,-13.0173,-612.502,-212961,4905.53,5447.57,58.009,426.305,7.86,3.91144,13.0203,-136.66,-6686.37,498.78,1813.43,99.6498,833.927,-478
10,0,-9.62128,-11.1862,-612.502,-209116,5180.19,4211.61,58.4574,420.027,7.86,5.13214,6.30646,-137.27,-5862.4,-874.511,1950.76,89.6293,827.707,-478
10,1,-9.3161,-13.6276,-617.385,-209940,5271.74,5310.24,58.5388,418.662,7.86,3.30109,11.1893,-144.594,-6045.5,-3895.75,1813.43,69.0573,826.81,-478
10,2,-8.0954,-12.1017,-613.723,-209940,5912.61,6134.22,59.634,420.691,7.86,2.38556,10.5789,-139.711,-6869.48,-599.852,440.138,91.7065,834.169,-478
10,3,-9.92645,-14.238,-611.281,-209116,5180.19,5172.91,58.4743,420.709,7.86,3.91144,10.2737,-139.101,-6045.5,498.78,1401.44,99.5857,828.461,-478
10,4,-8.40057,-11.7966,-613.723,-209940,5271.74,5722.23,58.5898,420.691,7.86,3.91144,6.00128,-138.491,-5862.4,-325.194,1950.76,93.6519,827.331,-478
10,5,-9.62128,-17.2897,-611.281,-210214,5180.19,5172.91,58.4743,422.506,7.86,2.69074,11.1893,-146.425,-6045.5,-874.511,2912.06,90.0276,826.287,-478
10,6,-9.3161,-12.1017,-612.502,-212961,5088.64,5722.23,58.308,426.305,7.86,4.52179,11.1893,-137.88,-6777.92,1048.1,1676.1,103.602,834.158,-478
10,7,-9.01093,-12.1017,-614.943,-210214,5546.4,4623.6,59.0194,420.459,7.86,4.21662,4.78058,-136.66,-5953.95,-1423.83,2362.75,85.5812,828.568,-478
10,8,-8.0954,-12.4069,-614.333,-209116,5271.74,5584.9,58.5812,419.01,7.86,3.91144,11.4944,-146.425,-6137.05,-4170.41,1813.43,67.5185,826.913,-478
10,9,-7.79022,-12.1017,-613.112,-211588,5821.06,6134.22,59.4943,423.719,7.86,2.99591,13.0203,-137.88,-6503.27,-599.852,302.809,91.6495,832.166,-478
11,0,-9.3161,-13.0173,-608.84,-209390,5180.19,4486.27,58.5083,422.532,7.86,3.30109,11.1893,-135.439,-5862.4,773.439,1676.1,101.711,828.284,-478
11,1,-8.40057,-11.7966,-613.723,-210489,5180.19,5722.23,58.4406,421.586,7.86,3.91144,6.61163,-137.88,-5862.4,2146.73,1538.77,111.57,827.518,-478
11,2,-10.5368,-14.8483,-613.112,-209665,5180.19,5172.91,58.449,420.583,7.86,2.08039,10.8841,-142.763,-6137.05,-599.852,4560.01,91.7983,827.988,-478
11,3,-10.5368,-13.0173,-614.943,-211588,5088.64,5722.23,58.275,422.692,7.86,3.60626,12.7151,-135.439,-6411.71,224.122,2637.4,97.6548,832.34,-478
11,4,-8.40057,-12.1017,-611.281,-210489,5271.74,4486.27,58.6241,422.956,7.86,3.60626,6.61163,-135.439,-5953.95,-50.536,1950.76,95.6269,828.96,-478
11,5,-8.40057,-12.7121,-611.891,-209665,5546.4,6134.22,59.0644,421.266,7.86,3.91144,12.1048,-143.984,-5953.95,-2522.46,2088.09,78.4809,826.352,-478
11,6,-8.70575,-12.7121,-614.333,-210214,6095.72,5310.24,59.9225,420.798,7.86,2.08039,12.7151,-136.66,-6411.71,-1423.83,1813.43,85.5812,831.917,-478
